kind,start,end,class,src,motivo
data,393216,524288,cal_table,"contiguous calibration/data band 0x60000-0x7FFFF (P4 declared table)"
data,524288,526708,cal_table,"extension/cfg words 0x80000-0x80970 (P4 declared table)"
data,698,700,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,1030,1032,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,1246,1248,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,4074,4088,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,8182,8192,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,13240,13244,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,15196,15198,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,15222,15224,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,15250,15256,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,15282,15284,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,15308,15310,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,15336,15348,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,15690,15692,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,17130,17132,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,17348,17350,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,17602,17608,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,18754,18838,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,18844,18854,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,18860,18870,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,18876,18886,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,18894,18902,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,18910,18918,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,18924,18934,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,18942,18950,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,18956,18966,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,18972,18982,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,18988,18998,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,19004,19014,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,19020,19030,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,19036,19046,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,19052,19062,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,19068,19078,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,19084,19094,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,19100,19110,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,19116,19126,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,19132,19146,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,19156,19158,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,19182,19208,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,19232,19252,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,19270,19274,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,55542,55544,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,55588,55590,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,55788,55794,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,317854,317856,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,317902,317904,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,322146,322148,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,322450,322452,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,343742,343744,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,385174,385176,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,385182,385184,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,385190,385192,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,385198,385200,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,385222,385224,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,385230,385232,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,385238,385240,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,385246,385248,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,385254,385256,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,385262,385264,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,385278,385280,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,385286,385288,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
